year;winner;gender;country;time;marathon;;
1941;Leslie S. Pawson;Male;United States;04/05/2018 02:30;Boston;;
1940;Gérard Côté;Male;Canada;04/05/2018 02:28;Boston;;
1939;Ellison Brown;Male;United States;04/05/2018 02:28;Boston;;
1938;Leslie S. Pawson;Male;United States;04/05/2018 02:35;Boston;;
1937;Walter Young;Male;Canada;04/05/2018 02:33;Boston;;
1936;Ellison Brown;Male;United States;04/05/2018 02:33;Boston;;
1935;John A. Kelley;Male;United States;04/05/2018 02:32;Boston;;
1934;Dave Komonen;Male;Canada;04/05/2018 02:32;Boston;;
1933;Leslie S. Pawson;Male;United States;04/05/2018 02:31;Boston;;
1932;Paul de Bruyn;Male;Germany;04/05/2018 02:33;Boston;;
1931;James Henigan;Male;United States;04/05/2018 02:46;Boston;;
1930;Clarence DeMar;Male;United States;04/05/2018 02:34;Boston;;
1929;Johnny Miles;Male;Canada;04/05/2018 02:33;Boston;;
1928;Clarence DeMar;Male;United States;04/05/2018 02:37;Boston;;
1927;Clarence DeMar;Male;United States;04/05/2018 02:40;Boston;;
1926;Johnny Miles;Male;Canada;04/05/2018 02:25;Boston;;
1925;Charles Mellor;Male;United States;04/05/2018 02:33;Boston;;
1924;Clarence DeMar;Male;United States;04/05/2018 02:29;Boston;;
1923;Clarence DeMar;Male;United States;04/05/2018 02:23;Boston;;
1922;Clarence DeMar;Male;United States;04/05/2018 02:18;Boston;;
1921;Frank Zuna;Male;United States;04/05/2018 02:18;Boston;;
1920;Peter Trivoulides;Male;Greece;04/05/2018 02:29;Boston;;
1919;Carl Linder;Male;United States;04/05/2018 02:29;Boston;;
1918;NA;NA;NA;;Boston;;
1917;Bill Kennedy;Male;United States;04/05/2018 02:28;Boston;;
1916;Arthur Roth;Male;United States;04/05/2018 02:27;Boston;;
1915;Édouard Fabre;Male;Canada;04/05/2018 02:31;Boston;;
1914;James Duffy;Male;Canada;04/05/2018 02:25;Boston;;
1913;Fritz Carlson;Male;United States;04/05/2018 02:25;Boston;;
1912;Michael J. Ryan;Male;United States;04/05/2018 02:21;Boston;;
1911;Clarence DeMar;Male;United States;04/05/2018 02:21;Boston;;
1910;Fred Cameron;Male;Canada;04/05/2018 02:28;Boston;;
1909;Henri Renaud;Male;United States;04/05/2018 02:53;Boston;;
1908;Thomas Morrissey;Male;United States;04/05/2018 02:25;Boston;;
1907;Thomas Longboat;Male;Canada;04/05/2018 02:24;Boston;;
1906;Tim Ford;Male;United States;04/05/2018 02:45;Boston;;
1905;Frederick Lorz;Male;United States;04/05/2018 02:38;Boston;;
1904;Michael Spring;Male;United States;04/05/2018 02:38;Boston;;
1903;John Lorden;Male;United States;04/05/2018 02:41;Boston;;
1902;Sammy Mellor;Male;United States;04/05/2018 02:43;Boston;;
1901;Jack Caffery;Male;Canada;04/05/2018 02:29;Boston;;
1900;Jack Caffery;Male;Canada;04/05/2018 02:39;Boston;;
1899;Lawrence Brignolia;Male;United States;04/05/2018 02:54;Boston;;
1898;Ronald J. MacDonald;Male;Canada;04/05/2018 02:42;Boston;;
1897;John J. McDermott;Male;United States;04/05/2018 02:55;Boston;;
2017;Geoffrey Kamworor;Male;Kenya;04/05/2018 02:10;NYC;;
2017;Shalane Flanagan;Female;United States;04/05/2018 02:26;NYC;;
2016;Ghirmay Ghebreslassie;Male;Eritrea;04/05/2018 02:07;NYC;;
2016;Mary Keitany;Female;Kenya;04/05/2018 02:24;NYC;;
2015;Stanley Biwott;Male;Kenya;04/05/2018 02:10;NYC;;
2015;Mary Keitany;Female;Kenya;04/05/2018 02:24;NYC;;
2014;Wilson Kipsang;Male;Kenya;04/05/2018 02:10;NYC;;
2014;Mary Keitany;Female;Kenya;04/05/2018 02:25;NYC;;
2013;Geoffrey Mutai;Male;Kenya;04/05/2018 02:08;NYC;;
2013;Priscah Jeptoo;Female;Kenya;04/05/2018 02:25;NYC;;
2012;NA;NA;NA;;NYC;;
2012;NA;NA;NA;;NYC;;
2011;Geoffrey Mutai;Male;Kenya;04/05/2018 02:05;NYC;;
2011;Firehiwot Dado;Female;Ethiopia;04/05/2018 02:23;NYC;;
2010;Gebregziabher Gebremariam;Male;Ethiopia;04/05/2018 02:08;NYC;;
2010;Edna Kiplagat;Female;Kenya;04/05/2018 02:28;NYC;;
2009;Meb Keflezighi;Male;United States;04/05/2018 02:09;NYC;;
2009;Derartu Tulu;Female;Ethiopia;04/05/2018 02:28;NYC;;
2008;Marílson Gomes dos Santos;Male;Brazil;04/05/2018 02:08;NYC;;
2008;Paula Radcliffe;Female;United Kingdom;04/05/2018 02:23;NYC;;
2007;Martin Lel;Male;Kenya;04/05/2018 02:09;NYC;;
2007;Paula Radcliffe;Female;United Kingdom;04/05/2018 02:23;NYC;;
2006;Marílson Gomes dos Santos;Male;Brazil;04/05/2018 02:09;NYC;;
2006;Jelena Prokopcuka;Female;Latvia;04/05/2018 02:25;NYC;;
2005;Paul Tergat;Male;Kenya;04/05/2018 02:09;NYC;;
2005;Jelena Prokopcuka;Female;Latvia;04/05/2018 02:24;NYC;;
2004;Hendrick Ramaala;Male;South Africa;04/05/2018 02:09;NYC;;
2004;Paula Radcliffe;Female;United Kingdom;04/05/2018 02:23;NYC;;
2003;Martin Lel;Male;Kenya;04/05/2018 02:10;NYC;;
2003;Margaret Okayo;Female;Kenya;04/05/2018 02:22;NYC;;
2002;Rodgers Rop;Male;Kenya;04/05/2018 02:08;NYC;;
2002;Joyce Chepchumba;Female;Kenya;04/05/2018 02:25;NYC;;
2001;Tesfaye Jifar;Male;Ethiopia;04/05/2018 02:07;NYC;;
2001;Margaret Okayo;Female;Kenya;04/05/2018 02:24;NYC;;
2000;Abdelkader El Mouaziz;Male;Morocco;04/05/2018 02:10;NYC;;
2000;Lyudmila Petrova;Female;Russia;04/05/2018 02:25;NYC;;
1999;Joseph Chebet;Male;Kenya;04/05/2018 02:09;NYC;;
1999;Adriana Fernandez;Female;Mexico;04/05/2018 02:25;NYC;;
1998;John Kagwe;Male;Kenya;04/05/2018 02:08;NYC;;
1998;Franca Fiacconi;Female;Italy;04/05/2018 02:25;NYC;;
1997;John Kagwe;Male;Kenya;04/05/2018 02:08;NYC;;
1997;Franziska Rochat-Moser;Female;Switzerland;04/05/2018 02:28;NYC;;
1996;Giacomo Leone;Male;Italy;04/05/2018 02:09;NYC;;
1996;Anuta Catuna;Female;Romania;04/05/2018 02:28;NYC;;
1995;Germán Silva;Male;Mexico;04/05/2018 02:11;NYC;;
1995;Tegla Loroupe;Female;Kenya;04/05/2018 02:28;NYC;;
1994;Germán Silva;Male;Mexico;04/05/2018 02:11;NYC;;
1994;Tegla Loroupe;Female;Kenya;04/05/2018 02:27;NYC;;
1993;Andrés Espinosa;Male;Mexico;04/05/2018 02:10;NYC;;
1993;Uta Pippig;Female;Germany;04/05/2018 02:26;NYC;;
1992;Willie Mtolo;Male;South Africa;04/05/2018 02:09;NYC;;
1992;Lisa Ondieki;Female;Australia;04/05/2018 02:24;NYC;;
1991;Salvador García;Male;Mexico;04/05/2018 02:09;NYC;;
1991;Liz McColgan;Female;United Kingdom;04/05/2018 02:27;NYC;;
1990;Douglas Wakiihuri;Male;Kenya;04/05/2018 02:12;NYC;;
1990;Wanda Panfil;Female;Poland;04/05/2018 02:30;NYC;;
1989;Juma Ikangaa;Male;Tanzania;04/05/2018 02:08;NYC;;
1989;Ingrid Kristiansen;Female;Norway;04/05/2018 02:25;NYC;;
1988;Steve Jones;Male;United Kingdom;04/05/2018 02:08;NYC;;
1988;Grete Waitz;Female;Norway;04/05/2018 02:28;NYC;;
1987;Ibrahim Hussein;Male;Kenya;04/05/2018 02:11;NYC;;
1987;Priscilla Welch;Female;United Kingdom;04/05/2018 02:30;NYC;;
1986;Gianni Poli;Male;Italy;04/05/2018 02:11;NYC;;
